input_name,matched_name,tvdb_id
Life is Beautiful,Life Is Beautiful,82033
City of God,City of God,67829
Saving Private Ryan,Saving Private Ryan,569
The Silence of the Lambs,The Silence of the Lambs,15030
Seven Samurai,Seven Samurai,1537
It's a Wonderful Life,It's a Wonderful Life,771
Se7en,Se7en,268
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,785
Inception,Inception,113
Taxi Driver,Taxi Driver,472
Fight Club,Fight Club,247
Forrest Gump,Forrest Gump,294
The Good the Bad and the Ugly,"The Good, The Bad, and The Ugly",327361
Pulp Fiction,Pulp Fiction,228
The Lord of the Rings: Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,107
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,157
The Lords of the Rings: Return of the King,The Lord of the Rings: The Return of the King,74
12 Angry Men,12 Angry Men,572
The Dark Knight Rises,The Dark Knight Rises,222
The Dark Knight,The Dark Knight,116
Batman Begins,Batman Begins,293
The Godfather Part II,The Godfather: Part II,780
The Godfather,The Godfather,275
The Shawshank Redemption,The Shawshank Redemption,190
Rambo: Last Blood,Rambo: Last Blood,13659
Rambo,Rambo,989
Rambo III,Rambo III,1020
Rambo: First Blood Part II,Rambo: First Blood Part II,481
First Blood,First Blood,565
Predator: Badlands,Predator: Badlands,353858
Predator: Killer of Killers,Predator: Killer of Killers,365795
Prey,Prey,332435
The Predator,The Predator,76
Predators,Predators,1107
Predator 2,Predator 2,1085
Predator,Predator,479
Alien: Resurrection,Alien Resurrection,784
Alien 3,Alien³,670
Aliens,Aliens,654
Alien: Romulus,Alien: Romulus,349288
Alien: Covenant,Alien: Covenant,199
Prometheus,Prometheus,527
Aliens vs Predator: Requiem,Aliens vs Predator: Requiem,1227
Alien vs Predator,AVP: Alien vs. Predator,1589
Alien,Alien,264
Ateam,The A-Team,77904
The Exorcism of Emily Rose,The Exorcism of Emily Rose,4454
