id,peopleId,movieId,personName,name,peopleType
12141495,322198,154,Adrian Rawlins,James Potter,Actor
12141496,296874,154,Jennifer Smith,Lavender Brown,Actor
12141499,374421,154,Mark Radcliffe,,Producer
65515689,7864943,154,Robbie Coltrane,Rubeus Hagrid,Actor
65515715,7938879,154,Josh Herdman,Gregory Goyle,Actor
65515718,247919,154,Bronson Webb,Pike,Actor
65515723,7931544,154,Jamie Waylett,Vincent Crabbe,Actor
68992169,7966594,154,Devon Murray,Seamus Finnigan,Actor
68992173,9115575,154,Danielle Tabor,Angelina Johnson,Actor
68992174,7956361,154,Jim Tavare,Tom,Actor
68992175,8102368,154,James Phelps,Fred Weasley,Actor
68992176,8146549,154,Oliver Phelps,George Weasley,Actor
68992178,9115617,154,Sitara Shah,Parvati Patil,Actor
68992195,8173813,154,Steve Kloves,,Writer
68992196,8092358,154,Alfonso Cuarón,,Director
68992200,9115556,154,Michael Barnathan,,Executive Producer
68992201,304894,154,Chris Columbus,,Producer
68992203,7921161,154,David Heyman,,Producer
68992207,9115618,154,Callum McDougall,,Executive Producer
68992208,8532278,154,Tanya Seghatchian,,Executive Producer
12141417,310851,153,Ralph Fiennes,Lord Voldemort,Actor
12141419,294150,153,Alan Rickman,Severus Snape,Actor
12141420,496037,153,Brendan Gleeson,Alastor Moody,Actor
12141421,327268,153,Gary Oldman,Sirius Black,Actor
12141425,356982,153,Maggie Smith,Minerva McGonagall,Actor
12141426,548450,153,Geraldine Somerville,Lily Potter,Actor
12141429,282466,153,Roger Lloyd Pack,Barty Crouch Sr.,Actor
12141430,346159,153,Jason Isaacs,Lucius Malfoy,Actor
12141431,320046,153,Eric Sykes,Frank Bryce,Actor
12141432,312515,153,Timothy Spall,Peter Pettigrew,Actor
12141433,297153,153,David Tennant,Barty Crouch Jr.,Actor
12141434,259115,153,Mark Williams,Arthur Weasley,Actor
12141435,646874,153,Bonnie Wright,Ginny Weasley,Actor
12141436,281933,153,Jeff Rawle,Amos Diggory,Actor
12141437,281900,153,Robert Hardy,Cornelius Fudge,Actor
12141444,356147,153,Margery Mason,Food Trolley Lady,Actor
12141445,403781,153,Katie Leung,Cho Chang,Actor
12141446,247908,153,David Bradley,Argus Filch,Actor
12141447,8102501,153,Warwick Davis,Filius Flitwick,Actor
12141448,302060,153,Predrag Bjelac,Igor Karkaroff,Actor
12141449,485837,153,Alfred Enoch,Dean Thomas,Actor
12141450,380183,153,Robert Wilfort,Photographer,Actor
12141451,361337,153,Henry Lloyd-Hughes,Roger Davies,Actor
12141452,457754,153,Jarvis Cocker,Myron Wagtail,Actor
12141453,477003,153,Steve Mackey,Donaghan Tremlett,Actor
12141454,259429,153,Shirley Henderson,Moaning Myrtle,Actor
12141456,322198,153,Adrian Rawlins,James Potter,Actor
12141457,325208,153,Mike Newell,,Director
65485689,7864943,153,Robbie Coltrane,Rubeus Hagrid,Actor
65515442,8102368,153,James Phelps,Fred Weasley,Actor
65515443,8146549,153,Oliver Phelps,George Weasley,Actor
65515445,7966594,153,Devon Murray,Seamus Finnigan,Actor
65515448,7938808,153,Afshan Azad,Padma Patil,Actor
65515451,7882942,153,Shefali Chowdhury,Parvati Patil,Actor
65515638,7890205,153,Frances De La Tour,Olympe Maxime,Actor
65515649,8004671,153,Angelica Mandy,Gabrielle Delacour,Actor
65515656,7931544,153,Jamie Waylett,Vincent Crabbe,Actor
65515659,7938879,153,Josh Herdman,Gregory Goyle,Actor
65516394,8012883,153,Louis Doyle,Ernie MacMillan,Actor
65610771,8173813,153,Steve Kloves,,Writer
68716974,310820,153,Daniel Radcliffe,Harry Potter,Actor
68716981,356218,153,Rupert Grint,Ron Weasley,Actor
68716988,381676,153,Emma Watson,Hermione Granger,Actor
68716989,307560,153,Michael Gambon,Albus Dumbledore,Actor
68716990,292017,153,Miranda Richardson,Rita Skeeter,Actor
68716992,333869,153,Matthew Lewis,Neville Longbottom,Actor
68716993,310910,153,Robert Pattinson,Cedric Diggory,Actor
68716997,290933,153,Clémence Poésy,Fleur Delacour,Actor
68717004,8164823,153,Stanislav Yanevski,Viktor Krum,Actor
68717005,255178,153,Tom Felton,Draco Malfoy,Actor
68992565,7864643,153,Tiana Benjamin,Angelina Johnson,Actor
68992566,9115576,153,Charlotte Skeoch,Hannah Abbott,Actor
68992567,9115662,153,Jason Buckle,Heathcote Barbary,Actor
68992568,9115663,153,Steve Claydon,Gideon Crumb,Actor
68992569,8290822,153,Jonny Greenwood,Kirley Duke,Actor
68992570,8404056,153,David Barron,,Executive Producer
68992571,7921161,153,David Heyman,,Producer
68992573,8532278,153,Tanya Seghatchian,,Executive Producer
12140577,310820,128,Daniel Radcliffe,Harry Potter,Actor
12140578,356218,128,Rupert Grint,Ron Weasley,Actor
12140579,381676,128,Emma Watson,Hermione Granger,Actor
12140580,307560,128,Michael Gambon,Albus Dumbledore,Actor
12140581,310851,128,Ralph Fiennes,Lord Voldemort,Actor
12140582,255178,128,Tom Felton,Draco Malfoy,Actor
12140583,294150,128,Alan Rickman,Severus Snape,Actor
12140584,356982,128,Maggie Smith,Minerva McGonagall,Actor
12140585,360491,128,Helena Bonham Carter,Bellatrix Lestrange,Actor
12140586,496037,128,Brendan Gleeson,Alastor Moody,Actor
12140587,327268,128,Gary Oldman,Sirius Black,Actor
12140588,346159,128,Jason Isaacs,Lucius Malfoy,Actor
12140589,281936,128,Imelda Staunton,Dolores Umbridge,Actor
12140590,333869,128,Matthew Lewis,Neville Longbottom,Actor
12140591,646874,128,Bonnie Wright,Ginny Weasley,Actor
12140592,295544,128,Evanna Lynch,Luna Lovegood,Actor
12140593,323003,128,Richard Griffiths,Vernon Dursley,Actor
12140594,260511,128,Fiona Shaw,Petunia Dursley,Actor
12140595,281900,128,Robert Hardy,Cornelius Fudge,Actor
12140596,254313,128,Emma Thompson,Sybil Trelawney,Actor
12140597,262467,128,Julie Walters,Molly Weasley,Actor
12140598,487306,128,David Thewlis,Remus Lupin,Actor
12140599,247837,128,Natalia Tena,Nymphadora Tonks,Actor
12140600,490365,128,Harry Melling,Dudley Dursley,Actor
12140601,247908,128,David Bradley,Argus Filch,Actor
12140602,259115,128,Mark Williams,Arthur Weasley,Actor
12140603,403781,128,Katie Leung,Cho Chang,Actor
12140604,589749,128,Chris Rankin,Percy Weasley,Actor
12140605,485837,128,Alfred Enoch,Dean Thomas,Actor
12140606,8102501,128,Warwick Davis,Filius Flitwick,Actor
12140607,548450,128,Geraldine Somerville,Lily Potter,Actor
12140608,322198,128,Adrian Rawlins,James Potter,Actor
12140609,406842,128,Kathryn Hunter,Arabella Figg,Actor
12140610,299855,128,George Harris,Kingsley Shacklebolt,Actor
12140611,258520,128,Peter Cartwright,Elphias Doge,Actor
12140612,391165,128,Sian Thomas,Amelia Bones,Actor
12140613,314998,128,Jim McManus,Aberforth Dumbledore,Actor
12140614,420634,128,Ryan Nelson,Michael Corner,Actor
12140615,307267,128,Sam Beazley,Everard,Actor
12140616,296094,128,Richard Leaf,John Dawlish,Actor
12140618,247970,128,Nicholas Blane,Bob,Actor
12140619,284063,128,Tony Maudsley,Grawp,Actor
12140620,258582,128,Timothy Bateson,Kreacher,Actor
12140621,348691,128,Jessica Hynes,Mafalda Hopkirk,Actor
12140622,406774,128,Michael Wildman,Magorian,Actor
